item_id,location_id,current_balance
a0W5700000MYVQOEA5,a0X2o00001Vbu9gEAB,1
a0W5700000MYVQOEA5,a0X2o00001VwbquEAB,2
a0W5700000MYVQOEA5,a0X5700000hcYHYEA2,4
a0W5700000MYVQOEA5,a0X5700000mB0JIEA0,5
a0W5700000MYVQOEA5,a0X5700000mB0JNEA0,17
a0W5700000MYVQOEA5,a0X5700000xnRgfEAE,0
a0W5700000MYVQOEA5,a0X5700000xnRgkEAE,1
a0W5700000MYVQOEA5,a0X57000011fDGvEAM,0
a0W5700000MYVQOEA5,a0X57000011fDIcEAM,69
a0W5700000MYVQOEA5,a0X57000011fDIhEAM,0
a0W5700000MYVQOEA5,a0X57000011fDISEA2,0
a0W5700000MYVQOEA5,a0X57000018NbJPEA0,0
a0W5700000MYVQOEA5,a0X57000019oxgdEAA,0
a0W5700000MYVQOEA5,a0X57000019oxgEEAQ,14
a0W5700000MYVQOEA5,a0X57000019oxgJEAQ,226
a0W5700000MYVQOEA5,a0X5700001C7jz6EAB,33
a0W5700000MYVQOEA5,a0XD000000588bDMAQ,1
a0W5700000MYVQOEA5,a0XD000000588bIMAQ,0
a0W5700000MYVQOEA5,a0XD000000588bmMAA,-12
a0W5700000MYVQOEA5,a0XD0000005JVGQMA4,-44
a0W5700000MYVQOEA5,a0XD0000005JVGVMA4,-10
a0W5700000MYVQOEA5,a0XD000000A1ghxMAB,2
a0W5700000MYVQOEA5,a0XD000000D3A2WMAV,1
a0W5700000MYVQOEA5,a0XD000000DOy7AMAT,0
a0W5700000MYVQOEA5,a0XD000000HELtaMAH,-2
a0W5700000MYVQOEA5,a0XD000000SKq1hMAD,42
a0W5700000OaJ2cEAF,a0X2o00001VwbquEAB,2
a0W5700000OaJ2cEAF,a0X2o00001WCEZsEAP,40
a0W5700000OaJ2cEAF,a0X5700000hcYHYEA2,15
a0W5700000OaJ2cEAF,a0X5700000mB0JIEA0,0
a0W5700000OaJ2cEAF,a0X5700000mB0JNEA0,25
a0W5700000OaJ2cEAF,a0X5700000xnRgfEAE,1
a0W5700000OaJ2cEAF,a0X5700000xnRgkEAE,1
a0W5700000OaJ2cEAF,a0X57000011fDGvEAM,28
a0W5700000OaJ2cEAF,a0X57000011fDIcEAM,40
a0W5700000OaJ2cEAF,a0X57000011fDIhEAM,12
a0W5700000OaJ2cEAF,a0X57000019oxgdEAA,0
a0W5700000OaJ2cEAF,a0X57000019oxgEEAQ,28
a0W5700000OaJ2cEAF,a0X57000019oxgJEAQ,50
a0W5700000OaJ2cEAF,a0X5700001C7jz6EAB,20
a0W5700000OaJ2cEAF,a0XD000000588bDMAQ,1
a0W5700000OaJ2cEAF,a0XD000000588bIMAQ,30
a0W5700000OaJ2cEAF,a0XD000000588bmMAA,19
a0W5700000OaJ2cEAF,a0XD0000005JVGQMA4,16
a0W5700000OaJ2cEAF,a0XD0000005JVGVMA4,177
a0W5700000OaJ2cEAF,a0XD000000D3A2WMAV,4
a0W5700000OaJ2cEAF,a0XD000000HELtaMAH,109
a0W5700000OaJ2cEAF,a0XD000000SKq1hMAD,42
